2 in ms
7 in ms
6 in ms
27 in ms
52 in ms
78 in ms
112 in ms
149 in ms

2 in ms
7 in ms
5 in ms
26 in ms
50 in ms
79 in ms
106 in ms
133 in ms

2 in ms
7 in ms
6 in ms
27 in ms
51 in ms
79 in ms
106 in ms
132 in ms

1 in ms
6 in ms
6 in ms
26 in ms
51 in ms
78 in ms
106 in ms
142 in ms

1 in ms
7 in ms
6 in ms
26 in ms
51 in ms
78 in ms
124 in ms
160 in ms
1 in ms
6 in ms
6 in ms
27 in ms
52 in ms
79 in ms
111 in ms
143 in ms
2 in ms
7 in ms
5 in ms
27 in ms
51 in ms
79 in ms
109 in ms
140 in ms
2 in ms
7 in ms
5 in ms
26 in ms
52 in ms
78 in ms
107 in ms
147 in ms
1 in ms
8 in ms
6 in ms
27 in ms
52 in ms
82 in ms
110 in ms
143 in ms
1 in ms
7 in ms
6 in ms
28 in ms
53 in ms
83 in ms
120 in ms
149 in ms
